Predicted Values,Actual Values
alt.atheism,alt.atheism
misc.forsale,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
comp.os.ms-windows.misc,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
talk.politics.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
comp.os.ms-windows.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.politics.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
sci.space,alt.atheism
rec.sport.hockey,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
soc.religion.christian,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
soc.religion.christian,alt.atheism
alt.atheism,alt.atheism
sci.space,alt.atheism
alt.atheism,alt.atheism
sci.space,alt.atheism
soc.religion.christian,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.politics.misc,alt.atheism
talk.religion.misc,alt.atheism
talk.politics.mideast,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
comp.os.ms-windows.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
sci.crypt,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
talk.politics.misc,alt.atheism
alt.atheism,alt.atheism
talk.religion.misc,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
alt.atheism,alt.atheism
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.os.ms-windows.misc,comp.graphics
sci.space,comp.graphics
comp.graphics,comp.graphics
comp.windows.x,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
sci.crypt,comp.graphics
talk.politics.guns,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.windows.x,comp.graphics
comp.graphics,comp.graphics
misc.forsale,comp.graphics
comp.graphics,comp.graphics
comp.windows.x,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.os.ms-windows.misc,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
sci.med,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
talk.politics.mideast,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
talk.politics.guns,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.os.ms-windows.misc,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
alt.atheism,comp.graphics
talk.religion.misc,comp.graphics
talk.politics.guns,comp.graphics
comp.graphics,comp.graphics
sci.med,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
sci.space,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.graphics,comp.graphics
comp.windows.x,comp.graphics
comp.graphics,comp.graphics
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.graphics,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
talk.politics.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
sci.space,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
rec.autos,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
misc.forsale,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
talk.politics.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
talk.politics.mideast,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
sci.space,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
