Class,Probability of Docs for Class
alt.atheism,0.050007501125168774
comp.graphics,0.050007501125168774
comp.os.ms-windows.misc,0.050007501125168774
comp.sys.ibm.pc.hardware,0.050007501125168774
comp.sys.mac.hardware,0.050007501125168774
comp.windows.x,0.050007501125168774
misc.forsale,0.050007501125168774
rec.autos,0.050007501125168774
rec.motorcycles,0.050007501125168774
rec.sport.baseball,0.050007501125168774
rec.sport.hockey,0.050007501125168774
sci.crypt,0.050007501125168774
sci.electronics,0.050007501125168774
sci.med,0.050007501125168774
sci.space,0.050007501125168774
soc.religion.christian,0.049857478621793266
talk.politics.guns,0.050007501125168774
talk.politics.mideast,0.050007501125168774
talk.politics.misc,0.050007501125168774
talk.religion.misc,0.050007501125168774
